Date,btc_price,nasdaq_price,dxy_price,fed_rate
2017-01-03,1043.8399658203125,5429.080078125,103.20999908447266,0.65
2017-01-04,1154.72998046875,5477.0,102.69999694824219,0.65
2017-01-05,1013.3800048828125,5487.93994140625,101.5199966430664,0.65
2017-01-06,902.2009887695312,5521.06005859375,102.22000122070312,0.65
2017-01-09,902.8280029296875,5531.81982421875,101.93000030517578,0.65
2017-01-10,907.6790161132812,5551.81982421875,102.01000213623047,0.65
2017-01-11,777.7570190429688,5563.64990234375,101.77999877929688,0.65
2017-01-12,804.833984375,5547.490234375,101.3499984741211,0.65
2017-01-13,823.9840087890625,5574.1201171875,101.18000030517578,0.65
2017-01-17,907.93798828125,5538.72998046875,100.33000183105469,0.65
2017-01-18,886.6179809570312,5555.64990234375,100.93000030517578,0.65
2017-01-19,899.072998046875,5540.080078125,101.1500015258789,0.65
2017-01-20,895.0260009765625,5555.330078125,100.73999786376953,0.65
2017-01-23,921.0120239257812,5552.93994140625,100.16000366210938,0.65
2017-01-24,892.68701171875,5600.9599609375,100.3499984741211,0.65
2017-01-25,901.5419921875,5656.33984375,100.02999877929688,0.65
2017-01-26,917.5859985351562,5655.18017578125,100.37999725341797,0.65
2017-01-27,919.75,5660.77978515625,100.52999877929688,0.65
2017-01-30,920.3820190429688,5613.7099609375,100.43000030517578,0.65
2017-01-31,970.4030151367188,5614.7900390625,99.51000213623047,0.65
2017-02-01,989.0230102539062,5642.64990234375,99.63999938964844,0.66
2017-02-02,1011.7999877929688,5636.2001953125,99.8499984741211,0.66
2017-02-03,1029.9100341796875,5666.77001953125,99.87000274658203,0.66
2017-02-06,1038.1500244140625,5663.5498046875,99.91000366210938,0.66
2017-02-07,1061.3499755859375,5674.22021484375,100.26000213623047,0.66
2017-02-08,1063.0699462890625,5682.4501953125,100.27999877929688,0.66
2017-02-09,994.3829956054688,5715.18017578125,100.6500015258789,0.66
2017-02-10,988.6740112304688,5734.1298828125,100.80000305175781,0.66
2017-02-13,990.6420288085938,5763.9599609375,100.95999908447266,0.66
2017-02-14,1004.5499877929688,5782.56982421875,101.25,0.66
2017-02-15,1007.47998046875,5819.43994140625,101.18000030517578,0.66
2017-02-16,1027.43994140625,5814.89990234375,100.44000244140625,0.66
2017-02-17,1046.2099609375,5838.580078125,100.94999694824219,0.66
2017-02-21,1115.300048828125,5865.9501953125,101.37000274658203,0.66
2017-02-22,1117.43994140625,5860.6298828125,101.33000183105469,0.66
2017-02-23,1166.719970703125,5835.509765625,101.05000305175781,0.66
2017-02-24,1173.6800537109375,5845.31005859375,101.08999633789062,0.66
2017-02-27,1179.969970703125,5861.89990234375,101.12999725341797,0.66
2017-02-28,1179.969970703125,5825.43994140625,101.12000274658203,0.66
2017-03-01,1222.5,5904.02978515625,101.77999877929688,0.79
2017-03-02,1251.010009765625,5861.22021484375,102.19999694824219,0.79
2017-03-03,1274.989990234375,5870.75,101.54000091552734,0.79
2017-03-06,1272.8299560546875,5849.18017578125,101.63999938964844,0.79
2017-03-07,1223.5400390625,5833.93017578125,101.80999755859375,0.79
2017-03-08,1150.0,5837.5498046875,102.06999969482422,0.79
2017-03-09,1188.489990234375,5838.81005859375,101.8499984741211,0.79
2017-03-10,1116.719970703125,5861.72998046875,101.25,0.79
2017-03-13,1231.9200439453125,5875.77978515625,101.37999725341797,0.79
2017-03-14,1240.0,5856.81982421875,101.69999694824219,0.79
